Date,Open,High,Low,Close,Adj Close,Volume
2021-05-20,6296.250000,6343.580078,6267.549805,6343.580078,6343.580078,68528400
2021-05-21,6360.879883,6402.100098,6351.950195,6386.410156,6386.410156,75862000
2021-05-24,6395.959961,6408.490234,6382.709961,6408.490234,6408.490234,34996500
2021-05-25,6416.609863,6422.830078,6390.270020,6390.270020,6390.270020,59097400
2021-05-26,6403.950195,6413.720215,6375.140137,6391.600098,6391.600098,58338700
2021-05-27,6379.830078,6467.720215,6379.830078,6435.709961,6435.709961,0
2021-05-28,6453.120117,6493.720215,6448.870117,6484.109863,6484.109863,64752500
2021-05-31,6483.319824,6496.319824,6441.759766,6447.169922,6447.169922,41777500
2021-06-01,6470.419922,6521.569824,6464.709961,6489.399902,6489.399902,61099200
2021-06-02,6489.899902,6521.819824,6482.100098,6521.520020,6521.520020,55390700
2021-06-03,6518.580078,6522.229980,6473.669922,6507.919922,6507.919922,55257300
2021-06-04,6514.270020,6517.930176,6497.390137,6515.660156,6515.660156,51796200
2021-06-07,6509.979980,6560.390137,6485.799805,6543.560059,6543.560059,57848800
2021-06-08,6545.689941,6574.209961,6540.709961,6551.009766,6551.009766,65450600
2021-06-09,6561.930176,6570.819824,6533.370117,6563.450195,6563.450195,61452400
2021-06-10,6574.589844,6574.589844,6526.229980,6546.490234,6546.490234,75224400
2021-06-11,6550.299805,6607.609863,6549.830078,6600.660156,6600.660156,68896800
2021-06-14,6625.549805,6650.160156,6599.270020,6616.350098,6616.350098,64515600
2021-06-15,6643.419922,6655.660156,6634.450195,6639.520020,6639.520020,67447800
2021-06-16,6657.520020,6659.379883,6632.359863,6652.649902,6652.649902,69886300
2021-06-17,6636.700195,6674.370117,6631.629883,6666.259766,6666.259766,70681800
2021-06-18,6657.229980,6687.290039,6560.120117,6569.160156,6569.160156,170613700
2021-06-21,6525.029785,6607.990234,6511.930176,6602.540039,6602.540039,78939300
2021-06-22,6609.979980,6622.200195,6583.500000,6611.500000,6611.500000,65102500
2021-06-23,6616.729980,6619.020020,6551.069824,6551.069824,6551.069824,70376800
2021-06-24,6576.069824,6639.830078,6572.810059,6631.149902,6631.149902,74425300
2021-06-25,6637.680176,6641.899902,6604.859863,6622.870117,6622.870117,0
2021-06-28,6611.990234,6633.729980,6556.879883,6558.020020,6558.020020,63796100
2021-06-29,6564.069824,6599.879883,6561.089844,6567.430176,6567.430176,61812500
2021-06-30,6562.169922,6575.839844,6474.430176,6507.830078,6507.830078,88781800
2021-07-01,6549.819824,6588.140137,6502.049805,6553.819824,6553.819824,69789700
2021-07-02,6572.000000,6582.790039,6540.120117,6552.859863,6552.859863,57451500
2021-07-05,6545.979980,6582.870117,6520.379883,6567.540039,6567.540039,45905300
2021-07-06,6551.000000,6561.509766,6483.200195,6507.479980,6507.479980,72349800
2021-07-07,6529.490234,6550.950195,6497.750000,6527.720215,6527.720215,82080600
2021-07-08,6479.399902,6483.319824,6348.640137,6396.729980,6396.729980,110791300
2021-07-09,6435.290039,6532.560059,6429.669922,6529.419922,6529.419922,84934900
2021-07-12,6525.109863,6567.979980,6479.540039,6559.250000,6559.250000,61855900
2021-07-13,6561.740234,6569.370117,6536.450195,6558.470215,6558.470215,62056500
2021-07-14,6533.799805,6565.200195,6530.910156,6558.379883,6558.379883,0
2021-07-15,6538.410156,6554.790039,6471.069824,6493.359863,6493.359863,0
2021-07-16,6524.950195,6526.759766,6418.250000,6460.080078,6460.080078,0
2021-07-19,6398.839844,6403.509766,6253.250000,6295.970215,6295.970215,0
2021-07-20,6325.160156,6386.459961,6304.850098,6346.850098,6346.850098,82160100
2021-07-21,6382.359863,6471.649902,6381.939941,6464.479980,6464.479980,82556600
2021-07-22,6498.310059,6525.209961,6474.049805,6481.589844,6481.589844,58412300
2021-07-23,6518.600098,6574.859863,6510.270020,6568.819824,6568.819824,56119000
2021-07-26,6532.009766,6588.089844,6517.049805,6578.600098,6578.600098,0
2021-07-27,6565.189941,6578.040039,6516.569824,6531.919922,6531.919922,60870400
2021-07-28,6547.470215,6609.310059,6530.740234,6609.310059,6609.310059,55290600
2021-07-29,6647.080078,6671.120117,6633.770020,6633.770020,6633.770020,94988900
2021-07-30,6608.160156,6648.200195,6596.990234,6612.759766,6612.759766,97436800
2021-08-02,6657.950195,6690.799805,6639.310059,6675.899902,6675.899902,72373600
2021-08-03,6692.600098,6749.879883,6688.120117,6723.810059,6723.810059,76009700
2021-08-04,6751.149902,6766.609863,6730.600098,6746.229980,6746.229980,68209400
2021-08-05,6750.859863,6788.689941,6750.859863,6781.189941,6781.189941,62368500
2021-08-06,6772.490234,6832.939941,6763.009766,6816.959961,6816.959961,67227300
2021-08-09,6818.540039,6832.770020,6806.979980,6813.180176,6813.180176,47885100
2021-08-10,6817.629883,6833.120117,6811.770020,6820.209961,6820.209961,48652800
2021-08-11,6840.279785,6867.109863,6821.209961,6857.990234,6857.990234,54453800
2021-08-12,6861.439941,6891.290039,6854.990234,6882.470215,6882.470215,53045300
2021-08-13,6888.479980,6913.669922,6885.640137,6896.040039,6896.040039,49869700
2021-08-16,6849.680176,6863.740234,6817.430176,6838.770020,6838.770020,49720100
2021-08-17,6812.419922,6827.490234,6789.109863,6819.839844,6819.839844,56251300
2021-08-18,6824.640137,6828.330078,6759.740234,6770.109863,6770.109863,55662800
2021-08-19,6665.120117,6671.169922,6560.740234,6605.890137,6605.890137,96566200
2021-08-20,6602.950195,6633.189941,6567.930176,6626.109863,6626.109863,66755800
2021-08-23,6699.319824,6699.319824,6657.140137,6683.100098,6683.100098,56007000
2021-08-24,6717.770020,6717.770020,6634.689941,6664.310059,6664.310059,48958200
2021-08-25,6683.180176,6684.209961,6667.250000,6676.479980,6676.479980,48823600
2021-08-26,6646.370117,6673.939941,6618.689941,6666.029785,6666.029785,50801600
2021-08-27,6658.270020,6682.149902,6644.680176,6681.919922,6681.919922,43959300
2021-08-30,6690.279785,6697.520020,6675.319824,6687.299805,6687.299805,37296500
2021-08-31,6692.850098,6708.140137,6650.899902,6680.180176,6680.180176,96775900
2021-09-01,6736.439941,6784.660156,6730.169922,6758.689941,6758.689941,75866000
2021-09-02,6753.180176,6778.330078,6747.169922,6763.080078,6763.080078,56090600
2021-09-03,6758.379883,6758.379883,6667.390137,6689.990234,6689.990234,63290200
2021-09-06,6704.350098,6756.399902,6700.450195,6743.500000,6743.500000,41892000
2021-09-07,6731.359863,6749.140137,6721.350098,6726.069824,6726.069824,48024800
2021-09-08,6688.839844,6712.049805,6628.979980,6668.890137,6668.890137,68566500
2021-09-09,6618.819824,6708.330078,6605.089844,6684.720215,6684.720215,63555000
